Week,invest
2004-01-10,67
2004-01-17,70
2004-01-24,63
2004-01-31,62
2004-02-07,54
2004-02-14,62
2004-02-21,59
2004-02-28,54
2004-03-06,62
2004-03-13,48
2004-03-20,46
2004-03-27,52
2004-04-03,55
2004-04-10,54
2004-04-17,49
2004-04-24,62
2004-05-01,58
2004-05-08,51
2004-05-15,49
2004-05-22,50
2004-05-29,41
2004-06-05,44
2004-06-12,36
2004-06-19,48
2004-06-26,53
2004-07-03,55
2004-07-10,47
2004-07-17,54
2004-07-24,64
2004-07-31,53
2004-08-07,42
2004-08-14,49
2004-08-21,50
2004-08-28,55
2004-09-04,46
2004-09-11,41
2004-09-18,52
2004-09-25,49
2004-10-02,53
2004-10-09,48
2004-10-16,46
2004-10-23,41
2004-10-30,56
2004-11-06,49
2004-11-13,49
2004-11-20,56
2004-11-27,66
2004-12-04,64
2004-12-11,62
2004-12-18,54
2004-12-25,57
2005-01-01,57
2005-01-08,67
2005-01-15,56
2005-01-22,62
2005-01-29,61
2005-02-05,63
2005-02-12,57
2005-02-19,59
2005-02-26,58
2005-03-05,56
2005-03-12,65
2005-03-19,55
2005-03-26,55
2005-04-02,73
2005-04-09,62
2005-04-16,59
2005-04-23,62
2005-04-30,53
2005-05-07,54
2005-05-14,55
2005-05-21,49
2005-05-28,46
2005-06-04,48
2005-06-11,58
2005-06-18,59
2005-06-25,66
2005-07-02,63
2005-07-09,55
2005-07-16,53
2005-07-23,54
2005-07-30,62
2005-08-06,60
2005-08-13,59
2005-08-20,49
2005-08-27,45
2005-09-03,54
2005-09-10,53
2005-09-17,65
2005-09-24,57
2005-10-01,55
2005-10-08,55
2005-10-15,55
2005-10-22,58
2005-10-29,57
2005-11-05,68
2005-11-12,56
2005-11-19,61
2005-11-26,48
2005-12-03,51
2005-12-10,60
2005-12-17,47
2005-12-24,54
2005-12-31,70
2006-01-07,69
2006-01-14,69
2006-01-21,68
2006-01-28,69
2006-02-04,67
2006-02-11,59
2006-02-18,58
2006-02-25,60
2006-03-04,65
2006-03-11,62
2006-03-18,59
2006-03-25,67
2006-04-01,68
2006-04-08,63
2006-04-15,69
2006-04-22,68
2006-04-29,73
2006-05-06,64
2006-05-13,65
2006-05-20,60
2006-05-27,59
2006-06-03,58
2006-06-10,56
2006-06-17,55
2006-06-24,55
2006-07-01,56
2006-07-08,49
2006-07-15,59
2006-07-22,58
2006-07-29,63
2006-08-05,57
2006-08-12,52
2006-08-19,55
2006-08-26,46
2006-09-02,52
2006-09-09,52
2006-09-16,47
2006-09-23,52
2006-09-30,54
2006-10-07,48
2006-10-14,56
2006-10-21,57
2006-10-28,55
2006-11-04,53
2006-11-11,54
2006-11-18,61
2006-11-25,52
2006-12-02,59
2006-12-09,55
2006-12-16,56
2006-12-23,53
2006-12-30,56
2007-01-06,65
2007-01-13,61
2007-01-20,60
2007-01-27,63
2007-02-03,62
2007-02-10,63
2007-02-17,55
2007-02-24,65
2007-03-03,61
2007-03-10,63
2007-03-17,56
2007-03-24,59
2007-03-31,54
2007-04-07,58
2007-04-14,60
2007-04-21,58
2007-04-28,62
2007-05-05,54
2007-05-12,56
2007-05-19,55
2007-05-26,60
2007-06-02,55
2007-06-09,59
2007-06-16,59
2007-06-23,67
2007-06-30,51
2007-07-07,57
2007-07-14,64
2007-07-21,62
2007-07-28,64
2007-08-04,59
2007-08-11,62
2007-08-18,57
2007-08-25,60
2007-09-01,52
2007-09-08,55
2007-09-15,54
2007-09-22,68
2007-09-29,64
2007-10-06,58
2007-10-13,65
2007-10-20,65
2007-10-27,64
2007-11-03,69
2007-11-10,71
2007-11-17,67
2007-11-24,65
2007-12-01,63
2007-12-08,63
2007-12-15,60
2007-12-22,54
2007-12-29,64
2008-01-05,72
2008-01-12,72
2008-01-19,76
2008-01-26,78
2008-02-02,74
2008-02-09,69
2008-02-16,67
2008-02-23,63
2008-03-01,70
2008-03-08,75
2008-03-15,66
2008-03-22,78
2008-03-29,70
2008-04-05,68
2008-04-12,67
2008-04-19,68
2008-04-26,66
2008-05-03,65
2008-05-10,63
2008-05-17,60
2008-05-24,65
2008-05-31,64
2008-06-07,59
2008-06-14,63
2008-06-21,66
2008-06-28,63
2008-07-05,61
2008-07-12,65
2008-07-19,73
2008-07-26,65
2008-08-02,63
2008-08-09,58
2008-08-16,54
2008-08-23,55
2008-08-30,51
2008-09-06,49
2008-09-13,63
2008-09-20,82
2008-09-27,83
2008-10-04,83
2008-10-11,100
2008-10-18,81
2008-10-25,78
2008-11-01,65
2008-11-08,57
2008-11-15,64
2008-11-22,63
2008-11-29,53
2008-12-06,60
2008-12-13,55
2008-12-20,49
2008-12-27,43
2009-01-03,52
2009-01-10,57
2009-01-17,60
2009-01-24,55
2009-01-31,59
2009-02-07,60
2009-02-14,62
2009-02-21,66
2009-02-28,71
2009-03-07,70
2009-03-14,67
2009-03-21,66
2009-03-28,73
2009-04-04,62
2009-04-11,57
2009-04-18,61
2009-04-25,56
2009-05-02,56
2009-05-09,60
2009-05-16,53
2009-05-23,58
2009-05-30,54
2009-06-06,63
2009-06-13,56
2009-06-20,51
2009-06-27,46
2009-07-04,49
2009-07-11,48
2009-07-18,55
2009-07-25,50
2009-08-01,49
2009-08-08,62
2009-08-15,57
2009-08-22,55
2009-08-29,55
2009-09-05,56
2009-09-12,57
2009-09-19,60
2009-09-26,63
2009-10-03,55
2009-10-10,67
2009-10-17,65
2009-10-24,64
2009-10-31,59
2009-11-07,60
2009-11-14,65
2009-11-21,59
2009-11-28,54
2009-12-05,60
2009-12-12,55
2009-12-19,51
2009-12-26,43
2010-01-02,53
2010-01-09,64
2010-01-16,62
2010-01-23,64
2010-01-30,58
2010-02-06,63
2010-02-13,57
2010-02-20,60
2010-02-27,64
2010-03-06,64
2010-03-13,72
2010-03-20,65
2010-03-27,67
2010-04-03,61
2010-04-10,67
2010-04-17,66
2010-04-24,63
2010-05-01,65
2010-05-08,61
2010-05-15,58
2010-05-22,60
2010-05-29,56
2010-06-05,50
2010-06-12,49
2010-06-19,54
2010-06-26,51
2010-07-03,51
2010-07-10,46
2010-07-17,49
2010-07-24,49
2010-07-31,50
2010-08-07,49
2010-08-14,51
2010-08-21,53
2010-08-28,47
2010-09-04,54
2010-09-11,49
2010-09-18,51
2010-09-25,62
2010-10-02,60
2010-10-09,67
2010-10-16,63
2010-10-23,64
2010-10-30,59
2010-11-06,62
2010-11-13,64
2010-11-20,59
2010-11-27,48
2010-12-04,57
2010-12-11,56
2010-12-18,52
2010-12-25,48
2011-01-01,55
2011-01-08,70
2011-01-15,71
2011-01-22,67
2011-01-29,74
2011-02-05,69
2011-02-12,72
2011-02-19,70
2011-02-26,68
2011-03-05,70
2011-03-12,71
2011-03-19,65
2011-03-26,69
2011-04-02,67
2011-04-09,69
2011-04-16,64
2011-04-23,70
2011-04-30,69
2011-05-07,59
2011-05-14,59
2011-05-21,59
2011-05-28,53
2011-06-04,56
2011-06-11,54
2011-06-18,56
2011-06-25,52
2011-07-02,53
2011-07-09,57
2011-07-16,56
2011-07-23,59
2011-07-30,65
2011-08-06,69
2011-08-13,78
2011-08-20,64
2011-08-27,60
2011-09-03,54
2011-09-10,53
2011-09-17,55
2011-09-24,65
2011-10-01,61
2011-10-08,61
2011-10-15,57
2011-10-22,58
2011-10-29,64
2011-11-05,59
2011-11-12,54
2011-11-19,58
2011-11-26,49
2011-12-03,60
2011-12-10,60
2011-12-17,54
2011-12-24,48
2011-12-31,51
2012-01-07,56
2012-01-14,56
2012-01-21,60
2012-01-28,67
2012-02-04,77
2012-02-11,66
2012-02-18,62
2012-02-25,61
2012-03-03,68
2012-03-10,60
2012-03-17,60
2012-03-24,62
2012-03-31,64
2012-04-07,58
2012-04-14,59
2012-04-21,61
2012-04-28,60
2012-05-05,61
2012-05-12,53
2012-05-19,69
2012-05-26,57
2012-06-02,51
2012-06-09,48
2012-06-16,50
2012-06-23,53
2012-06-30,46
2012-07-07,47
2012-07-14,54
2012-07-21,52
2012-07-28,52
2012-08-04,49
2012-08-11,48
2012-08-18,52
2012-08-25,58
2012-09-01,55
2012-09-08,57
2012-09-15,58
2012-09-22,60
2012-09-29,63
2012-10-06,59
2012-10-13,58
2012-10-20,57
2012-10-27,62
2012-11-03,53
2012-11-10,58
2012-11-17,57
2012-11-24,47
2012-12-01,62
2012-12-08,56
2012-12-15,52
2012-12-22,47
2012-12-29,46
2013-01-05,62
2013-01-12,63
2013-01-19,61
2013-01-26,61
2013-02-02,69
2013-02-09,65
2013-02-16,64
2013-02-23,61
2013-03-02,63
2013-03-09,64
2013-03-16,65
2013-03-23,62
2013-03-30,62
2013-04-06,61
2013-04-13,66
2013-04-20,59
2013-04-27,65
2013-05-04,63
2013-05-11,64
2013-05-18,63
2013-05-25,57
2013-06-01,52
2013-06-08,56
2013-06-15,52
2013-06-22,50
2013-06-29,53
2013-07-06,49
2013-07-13,54
2013-07-20,56
2013-07-27,56
2013-08-03,57
2013-08-10,52
2013-08-17,55
2013-08-24,56
2013-08-31,53
2013-09-07,52
2013-09-14,55
2013-09-21,73
2013-09-28,88
2013-10-05,85
2013-10-12,77
2013-10-19,78
2013-10-26,76
2013-11-02,76
2013-11-09,75
2013-11-16,75
2013-11-23,74
2013-11-30,62
2013-12-07,71
2013-12-14,68
2013-12-21,65
2013-12-28,66
2014-01-04,78
