Week,crude oil
2004-01-10,8
2004-01-17,14
2004-01-24,11
2004-01-31,10
2004-02-07,10
2004-02-14,14
2004-02-21,9
2004-02-28,12
2004-03-06,12
2004-03-13,15
2004-03-20,11
2004-03-27,16
2004-04-03,21
2004-04-10,14
2004-04-17,14
2004-04-24,17
2004-05-01,13
2004-05-08,23
2004-05-15,28
2004-05-22,31
2004-05-29,31
2004-06-05,23
2004-06-12,21
2004-06-19,17
2004-06-26,9
2004-07-03,12
2004-07-10,11
2004-07-17,13
2004-07-24,13
2004-07-31,12
2004-08-07,26
2004-08-14,28
2004-08-21,35
2004-08-28,27
2004-09-04,16
2004-09-11,16
2004-09-18,16
2004-09-25,18
2004-10-02,27
2004-10-09,27
2004-10-16,31
2004-10-23,25
2004-10-30,29
2004-11-06,28
2004-11-13,20
2004-11-20,25
2004-11-27,15
2004-12-04,28
2004-12-11,27
2004-12-18,19
2004-12-25,14
2005-01-01,13
2005-01-08,15
2005-01-15,15
2005-01-22,15
2005-01-29,17
2005-02-05,16
2005-02-12,18
2005-02-19,14
2005-02-26,21
2005-03-05,19
2005-03-12,32
2005-03-19,31
2005-03-26,32
2005-04-02,29
2005-04-09,32
2005-04-16,33
2005-04-23,33
2005-04-30,34
2005-05-07,29
2005-05-14,27
2005-05-21,27
2005-05-28,21
2005-06-04,20
2005-06-11,18
2005-06-18,24
2005-06-25,31
2005-07-02,32
2005-07-09,29
2005-07-16,29
2005-07-23,24
2005-07-30,22
2005-08-06,24
2005-08-13,42
2005-08-20,55
2005-08-27,44
2005-09-03,79
2005-09-10,46
2005-09-17,32
2005-09-24,37
2005-10-01,30
2005-10-08,30
2005-10-15,26
2005-10-22,32
2005-10-29,27
2005-11-05,27
2005-11-12,27
2005-11-19,24
2005-11-26,19
2005-12-03,23
2005-12-10,19
2005-12-17,18
2005-12-24,16
2005-12-31,13
2006-01-07,18
2006-01-14,17
2006-01-21,22
2006-01-28,24
2006-02-04,21
2006-02-11,23
2006-02-18,26
2006-02-25,27
2006-03-04,23
2006-03-11,20
2006-03-18,23
2006-03-25,23
2006-04-01,23
2006-04-08,25
2006-04-15,29
2006-04-22,50
2006-04-29,48
2006-05-06,35
2006-05-13,32
2006-05-20,28
2006-05-27,23
2006-06-03,21
2006-06-10,23
2006-06-17,24
2006-06-24,19
2006-07-01,17
2006-07-08,20
2006-07-15,29
2006-07-22,27
2006-07-29,21
2006-08-05,19
2006-08-12,31
2006-08-19,26
2006-08-26,19
2006-09-02,26
2006-09-09,28
2006-09-16,34
2006-09-23,33
2006-09-30,32
2006-10-07,35
2006-10-14,26
2006-10-21,23
2006-10-28,26
2006-11-04,22
2006-11-11,17
2006-11-18,22
2006-11-25,16
2006-12-02,18
2006-12-09,21
2006-12-16,15
2006-12-23,15
2006-12-30,10
2007-01-06,14
2007-01-13,31
2007-01-20,29
2007-01-27,27
2007-02-03,22
2007-02-10,19
2007-02-17,18
2007-02-24,18
